,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,11,665,22639,15321,7370,2102,.522,.398,.839,34.0,23.0,11.1,3.2,87.4,.185,4.3,36.0
2,2,LAL,D'Angelo Russell,Ohio State,11,647,19127,11078,2164,3670,.426,.363,.793,29.6,17.1,3.3,5.7,26.4,.066,0.6,12.3
3,3,PHI,Jahlil Okafor,Duke,7,248,4830,2566,1170,226,.542,.222,.676,19.5,10.3,4.7,0.9,7.2,.071,-2.0,0.0
4,4,NYK,Kristaps Porziņģis,,10,513,15722,10063,3959,952,.462,.365,.830,30.6,19.6,7.7,1.9,49.4,.151,2.7,18.7
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.3,.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,.391,.305,.748,19.8,6.2,3.1,1.5,6.9,.037,-2.7,-1.6
9,9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,.430,.349,.746,19.8,8.8,3.8,1.6,15.9,.094,-0.2,3.7
10,10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,.412,.315,.638,25.9,8.2,5.1,2.6,8.2,.044,-2.1,-0.3
11,11,IND,Myles Turner,Texas,11,664,19104,9307,4485,853,.497,.364,.770,28.8,14.0,6.8,1.3,49.9,.125,0.7,13.2
12,12,UTA,Trey Lyles,Kentucky,10,650,11970,4935,2826,697,.441,.347,.741,18.4,7.6,4.3,1.1,22.0,.088,-1.0,3.0
13,13,PHO,Devin Booker,Kentucky,11,695,23912,17002,2813,3669,.464,.353,.873,34.4,24.5,4.0,5.3,53.6,.108,1.1,18.5
14,14,OKC,Cameron Payne,Murray State,10,477,8356,3703,951,1527,.419,.368,.836,17.5,7.8,2.0,3.2,13.9,.080,-0.6,3.0
15,15,ATL,Kelly Oubre Jr.,Kansas,11,667,18160,8897,3093,763,.439,.325,.752,27.2,13.3,4.6,1.1,25.6,.068,-1.8,0.7
16,16,BOS,Terry Rozier,Louisville,10,665,18357,9252,2610,2337,.418,.361,.829,27.6,13.9,3.9,3.5,30.6,.080,0.2,10.1
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,529,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,10,548,11175,3656,1650,1636,.447,.348,.799,20.4,6.7,3.0,3.0,28.9,.124,1.9,11.1
21,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4
22,22,CHI,Bobby Portis,Arkansas,11,676,15376,8060,4806,876,.478,.386,.764,22.7,11.9,7.1,1.3,34.3,.107,-0.5,5.8
