Rk,Tm,Player,College,Year
1.0,NJN,Kenyon Martin,Cincinnati,2000
2.0,VAN,Stromile Swift,LSU,2000
3.0,LAC,Darius Miles,,2000
4.0,CHI,Marcus Fizer,Iowa State,2000
5.0,ORL,Mike Miller,Florida,2000
6.0,ATL,DerMarr Johnson,Cincinnati,2000
7.0,CHI,Chris Mihm,Texas,2000
8.0,CLE,Jamal Crawford,Michigan,2000
9.0,HOU,Joel Przybilla,Minnesota,2000
10.0,ORL,Keyon Dooling,Missouri,2000
11.0,BOS,Jérôme Moïso,UCLA,2000
12.0,DAL,Etan Thomas,Syracuse,2000
13.0,ORL,Courtney Alexander,Fresno State,2000
14.0,DET,Mateen Cleaves,Michigan State,2000
15.0,MIL,Jason Collier,Georgia Tech,2000
16.0,SAC,Hedo Türkoğlu,,2000
17.0,SEA,Desmond Mason,Oklahoma State,2000
18.0,LAC,Quentin Richardson,DePaul,2000
19.0,CHH,Jamaal Magloire,Kentucky,2000
20.0,PHI,Speedy Claxton,Hofstra,2000
21.0,TOR,Morris Peterson,Michigan State,2000
22.0,NYK,Donnell Harvey,Florida,2000
23.0,UTA,DeShawn Stevenson,,2000
24.0,CHI,Dalibor Bagarić,,2000
25.0,PHO,Jake Tsakalidis,,2000
26.0,DEN,Mamadou N'Diaye,Auburn,2000
27.0,IND,Primož Brezec,,2000
28.0,POR,Erick Barkley,St. John's,2000
29.0,LAL,Mark Madsen,Stanford,2000
30.0,LAC,Marko Jarić,,2000
31.0,DAL,Dan Langhi,Vanderbilt,2000
32.0,CHI,A.J. Guyton,Indiana,2000
33.0,CHI,Jake Voskuhl,UConn,2000
34.0,CHI,Khalid El-Amin,UConn,2000
35.0,WAS,Mike Smith,Louisiana-Monroe,2000
36.0,NJN,Soumaila Samake,,2000
37.0,MIA,Eddie House,Arizona State,2000
38.0,HOU,Eduardo Nájera,Oklahoma,2000
39.0,NYK,Lavor Postell,St. John's,2000
40.0,ATL,Hanno Möttölä,Utah,2000
41.0,SAS,Chris Carrawell,Duke,2000
42.0,SEA,Olumide Oyedeji,,2000
43.0,MIL,Michael Redd,Ohio State,2000
44.0,DET,Brian Cardinal,Purdue,2000
45.0,SAC,Jabari Smith,LSU,2000
46.0,TOR,DeeAndre Hulett,College of the Sequoias,2000
47.0,SEA,Josip Sesar,,2000
48.0,PHI,Mark Karcher,Temple,2000
49.0,MIL,Jason Hart,Syracuse,2000
50.0,UTA,Kaniel Dickens,Idaho,2000
51.0,MIN,Igor Rakočević,,2000
52.0,MIA,Ernest Brown,Indian Hills Community College,2000
53.0,DEN,Dan McClintock,Northern Arizona University,2000
54.0,SAS,Cory Hightower,Indian Hills Community College,2000
55.0,GSW,Chris Porter,Auburn,2000
56.0,IND,Jaquay Walls,Colorado,2000
57.0,ATL,Scoonie Penn,Ohio State,2000
58.0,DAL,Pete Mickeal,Cincinnati,2000
1.0,WAS,Kwame Brown,,2001
2.0,LAC,Tyson Chandler,,2001
3.0,ATL,Pau Gasol,,2001
4.0,CHI,Eddy Curry,,2001
5.0,GSW,Jason Richardson,Michigan State,2001
6.0,MEM,Shane Battier,Duke,2001
7.0,NJN,Eddie Griffin,Seton Hall,2001
8.0,CLE,DeSagana Diop,,2001
9.0,DET,Rodney White,UNC Charlotte,2001
10.0,BOS,Joe Johnson,Arkansas,2001
11.0,BOS,Kedrick Brown,Okaloosa-Walton Community College,2001
12.0,SEA,Vladimir Radmanović,,2001
13.0,HOU,Richard Jefferson,Arizona,2001
14.0,GSW,Troy Murphy,Notre Dame,2001
15.0,ORL,Steven Hunter,DePaul,2001
16.0,CHH,Kirk Haston,Indiana,2001
17.0,TOR,Michael Bradley,Villanova,2001
18.0,HOU,Jason Collins,Stanford,2001
19.0,POR,Zach Randolph,Michigan State,2001
20.0,CLE,Brendan Haywood,UNC,2001
21.0,BOS,Joseph Forte,UNC,2001
22.0,ORL,Jeryl Sasser,SMU,2001
23.0,HOU,Brandon Armstrong,Pepperdine,2001
24.0,UTA,Raül López,,2001
25.0,SAC,Gerald Wallace,Alabama,2001
26.0,PHI,Samuel Dalembert,Seton Hall,2001
27.0,MEM,Jamaal Tinsley,Iowa State,2001
28.0,SAS,Tony Parker,,2001
,,,,2001
30.0,CHI,Trenton Hassell,Austin Peay State University,2001
31.0,GSW,Gilbert Arenas,Arizona,2001
32.0,ORL,Omar Cook,St. John's,2001
33.0,MEM,Will Solomon,Clemson,2001
34.0,ATL,Terence Morris,Maryland,2001
35.0,NJN,Brian Scalabrine,USC,2001
36.0,CLE,Jeff Trepagnier,USC,2001
37.0,PHI,Damone Brown,Syracuse,2001
38.0,DET,Mehmet Okur,,2001
39.0,NYK,Michael Wright,Arizona,2001
40.0,SEA,Earl Watson,UCLA,2001
41.0,IND,Jamison Brewer,Auburn,2001
42.0,SEA,Bobby Simmons,DePaul,2001
43.0,NYK,Eric Chenowith,Kansas,2001
44.0,DAL,Kyle Hill,Eastern Illinois University,2001
45.0,CHI,Sean Lampley,California,2001
46.0,MIN,Loren Woods,Arizona,2001
47.0,DEN,Ousmane Cisse,,2001
48.0,MEM,Antonis Fotsis,,2001
49.0,MIA,Ken Johnson,Ohio State,2001
50.0,POR,Ruben Boumtje-Boumtje,Georgetown,2001
51.0,PHO,Alton Ford,Houston,2001
52.0,MIL,Andre Hutson,Michigan State,2001
53.0,UTA,Jarron Collins,Stanford,2001
54.0,DAL,Kenny Satterfield,Cincinnati,2001
55.0,SAC,Maurice Jeffers,Saint Louis,2001
56.0,SAS,Robertas Javtokas,,2001
57.0,PHI,Alvin Jones,Georgia Tech,2001
58.0,SAS,Bryan Bracey,Oregon,2001
1.0,HOU,Yao Ming,,2002
2.0,CHI,Jay Williams,Duke,2002
3.0,GSW,Mike Dunleavy,Duke,2002
4.0,MEM,Drew Gooden,Kansas,2002
5.0,DEN,Nikoloz Tskitishvili,,2002
6.0,CLE,Dajuan Wagner,Memphis,2002
7.0,NYK,Nenê,,2002
8.0,LAC,Chris Wilcox,Maryland,2002
9.0,PHO,Amar'e Stoudemire,,2002
10.0,MIA,Caron Butler,UConn,2002
11.0,WAS,Jared Jeffries,Indiana,2002
12.0,LAC,Melvin Ely,Fresno State,2002
13.0,MIL,Marcus Haislip,Tennessee,2002
14.0,IND,Fred Jones,Oregon,2002
15.0,HOU,Boštjan Nachbar,,2002
16.0,PHI,Jiří Welsch,,2002
17.0,WAS,Juan Dixon,Maryland,2002
18.0,ORL,Curtis Borchardt,Stanford,2002
19.0,UTA,Ryan Humphrey,Notre Dame,2002
20.0,TOR,Kareem Rush,Missouri,2002
21.0,POR,Qyntel Woods,Northeast Mississippi Community College,2002
22.0,PHO,Casey Jacobsen,Stanford,2002
23.0,DET,Tayshaun Prince,Kentucky,2002
24.0,NJN,Nenad Krstić,,2002
25.0,DEN,Frank Williams,Illinois,2002
26.0,SAS,John Salmons,Miami (FL),2002
27.0,LAL,Chris Jefferies,Fresno State,2002
28.0,SAC,Dan Dickau,Gonzaga,2002
,,,,2002
30.0,GSW,Steve Logan,Cincinnati,2002
31.0,CHI,Roger Mason,Virginia,2002
32.0,MEM,Robert Archibald,Illinois,2002
33.0,DEN,Vincent Yarbrough,Tennessee,2002
34.0,MIL,Dan Gadzuric,UCLA,2002
35.0,CLE,Carlos Boozer,Duke,2002
36.0,NYK,Milos Vujanic,,2002
37.0,ATL,David Andersen,,2002
38.0,HOU,Tito Maddox,Fresno State,2002
39.0,WAS,Rod Grizzard,Alabama,2002
40.0,WAS,Juan Carlos Navarro,,2002
41.0,LAC,Mario Kasun,,2002
42.0,MIL,Ronald Murray,Shaw,2002
43.0,POR,Jason Jennings,Arkansas State University,2002
44.0,CHI,Lonny Baxter,Maryland,2002
45.0,PHI,Sam Clancy,USC,2002
46.0,MEM,Matt Barnes,UCLA,2002
47.0,UTA,Jamal Sampson,California,2002
48.0,MIL,Chris Owens,Texas,2002
49.0,SEA,Peter Fehse,,2002
50.0,BOS,Darius Songaila,Wake Forest,2002
51.0,POR,Federico Kammerichs,,2002
52.0,MIN,Marcus Taylor,Michigan State,2002
53.0,MIA,Rasual Butler,La Salle,2002
54.0,NJN,Tamar Slay,Marshall,2002
55.0,DAL,Mladen Sekularac,,2002
56.0,SAS,Luis Scola,,2002
57.0,SAS,Randy Holcomb,San Diego State,2002
58.0,SAC,Corsley Edwards,Central Connecticut State University,2002
1.0,CLE,LeBron James,,2003
2.0,DET,Darko Miličić,,2003
3.0,DEN,Carmelo Anthony,Syracuse,2003
4.0,TOR,Chris Bosh,Georgia Tech,2003
5.0,MIA,Dwyane Wade,Marquette,2003
6.0,LAC,Chris Kaman,Central Michigan University,2003
7.0,CHI,Kirk Hinrich,Kansas,2003
8.0,MIL,T.J. Ford,Texas,2003
9.0,NYK,Mike Sweetney,Georgetown,2003
