Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,10,10,37.1,10.6,22.6,.469,3.6,11.0,.327,7.0,11.6,.603,.549,9.6,12.2,.787,0.9,8.0,8.9,8.9,1.7,0.6,3.7,2.5,34.4,,doncilu01
2,Giannis Antetokounmpo,31,MIL,PF,12,12,33.4,12.5,19.8,.630,0.8,1.5,.500,11.8,18.3,.641,.649,6.8,10.8,.636,3.8,7.5,11.3,7.1,0.9,1.3,3.5,2.7,32.6,,antetgi01
3,Shai Gilgeous-Alexander,27,OKC,PG,14,14,33.6,11.1,21.0,.531,2.2,5.9,.373,8.9,15.1,.592,.583,8.1,9.0,.897,0.4,4.7,5.1,6.6,1.4,0.9,1.6,1.8,32.6,,gilgesh01
4,Tyrese Maxey,25,PHI,PG,12,12,40.3,10.6,23.3,.454,3.8,9.2,.418,6.8,14.2,.476,.536,7.0,7.9,.884,0.3,4.8,5.1,7.8,1.4,0.8,2.5,2.7,32.0,,maxeyty01
5,Bennedict Mathurin,23,IND,SF,2,2,36.5,8.5,15.5,.548,2.5,5.0,.500,6.0,10.5,.571,.629,11.5,13.0,.885,1.5,5.5,7.0,2.5,0.0,0.0,2.5,3.0,31.0,,mathube01
6,Lauri Markkanen,28,UTA,PF,13,13,36.2,10.3,21.5,.479,3.8,9.7,.389,6.5,11.8,.552,.566,6.2,7.1,.880,2.3,3.8,6.2,2.1,0.9,0.5,1.4,1.9,30.6,,markkla01
7,Donovan Mitchell,29,CLE,SG,12,12,33.9,10.1,20.3,.498,4.0,10.5,.381,6.1,9.8,.624,.597,6.3,7.5,.833,0.8,3.8,4.6,5.4,1.5,0.5,3.3,2.2,30.4,,mitchdo01
8,Nikola Jokić,30,DEN,C,12,12,34.2,10.8,16.0,.672,1.9,4.5,.426,8.8,11.5,.768,.732,5.3,6.0,.875,3.0,10.0,13.0,10.9,1.8,0.8,3.3,2.8,28.7,,jokicni01
9,Devin Booker,29,PHO,SG,14,14,35.8,9.8,19.8,.495,2.0,5.9,.341,7.8,13.9,.559,.545,6.9,7.6,.897,1.1,3.0,4.1,7.0,0.8,0.3,4.0,2.9,28.4,,bookede01
10,Austin Reaves,27,LAL,SG,11,11,36.3,8.6,17.9,.482,2.7,8.3,.330,5.9,9.6,.613,.558,8.3,9.5,.867,0.6,4.5,5.1,8.2,1.4,0.1,3.4,2.5,28.3,,reaveau01
11,Jalen Brunson,29,NYK,PG,11,11,33.9,9.7,20.8,.467,2.8,7.6,.369,6.9,13.2,.524,.535,5.7,6.6,.863,0.5,3.1,3.5,6.5,0.8,0.0,2.7,2.6,28.0,,brunsja01
12,Cade Cunningham,24,DET,PG,11,11,37.0,9.6,22.1,.436,1.9,6.6,.288,7.7,15.5,.500,.479,6.3,7.8,.802,1.1,4.3,5.4,9.9,1.4,0.8,3.6,3.7,27.5,,cunnica01
13,Jaylen Brown,29,BOS,SF,14,14,32.1,10.5,20.8,.505,1.9,5.6,.342,8.6,15.1,.566,.552,4.5,5.9,.768,0.9,4.7,5.6,4.1,0.8,0.4,3.2,3.2,27.4,,brownja02
14,Stephen Curry,37,GSW,PG,12,12,30.6,8.7,18.9,.458,4.3,11.2,.381,4.4,7.8,.570,.570,5.8,6.3,.933,0.3,3.4,3.7,3.7,1.4,0.4,2.7,2.3,27.4,,curryst01
15,Anthony Edwards,24,MIN,SG,9,9,30.3,9.0,18.9,.476,3.3,8.1,.411,5.7,10.8,.526,.565,6.0,7.0,.857,0.9,3.7,4.6,3.7,1.1,0.7,2.4,1.7,27.3,,edwaran01
16,Coby White,25,CHI,SG,1,0,30.0,5.0,14.0,.357,3.0,8.0,.375,2.0,6.0,.333,.464,14.0,14.0,1.000,0.0,4.0,4.0,8.0,1.0,0.0,3.0,3.0,27.0,,whiteco01
17,Victor Wembanyama,22,SAS,C,12,12,34.7,9.3,18.4,.502,1.7,4.8,.345,7.6,13.6,.558,.548,6.0,7.0,.857,2.0,10.9,12.9,4.0,1.1,3.6,3.6,3.7,26.2,,wembavi01
18,Norman Powell,32,MIA,SG,10,10,31.3,7.9,16.4,.482,3.5,7.3,.479,4.4,9.1,.484,.588,6.8,7.3,.932,0.3,3.8,4.1,2.4,1.2,0.2,2.2,2.4,26.1,,powelno01
19,Deni Avdija,25,POR,SF,13,13,34.1,8.3,17.0,.489,2.5,6.8,.375,5.8,10.2,.564,.563,6.8,7.9,.864,1.3,5.2,6.5,4.8,0.5,0.8,3.6,3.7,26.0,,avdijde01
20,James Harden,36,LAC,PG,12,12,36.1,7.7,16.8,.455,3.8,9.4,.398,3.9,7.4,.528,.567,6.9,7.6,.912,0.6,5.8,6.3,9.0,0.9,0.4,3.8,1.9,26.0,,hardeja01
21,Kevin Durant,37,HOU,SF,12,12,36.1,8.8,17.2,.510,1.8,4.6,.400,6.9,12.6,.550,.563,6.6,7.4,.888,0.3,4.3,4.7,3.4,1.0,0.7,3.0,2.8,25.9,,duranke01
22,Julius Randle,31,MIN,PF,13,13,33.6,8.8,16.2,.540,1.9,4.9,.391,6.8,11.3,.605,.600,6.0,6.9,.867,1.5,5.9,7.4,6.2,1.3,0.2,2.6,2.5,25.5,,randlju01
23,Pascal Siakam,31,IND,PF,12,12,35.0,8.8,19.3,.453,1.8,5.1,.361,6.9,14.3,.485,.500,5.3,8.0,.656,1.8,5.3,7.1,5.1,1.2,0.3,2.4,3.3,24.6,,siakapa01
24,Kawhi Leonard,34,LAC,SF,6,6,33.5,8.8,17.5,.505,2.3,5.8,.400,6.5,11.7,.557,.571,4.3,4.5,.963,0.8,4.8,5.7,3.5,2.5,0.7,1.8,1.2,24.3,,leonaka01
25,Michael Porter Jr.,27,BRK,SF,12,12,32.5,8.6,18.2,.472,3.1,8.8,.349,5.5,9.3,.589,.557,3.8,4.5,.852,1.1,6.8,7.8,3.3,0.7,0.2,2.3,2.3,24.1,,portemi01
26,Franz Wagner,24,ORL,SF,14,14,35.8,7.6,16.4,.461,1.8,5.0,.357,5.8,11.4,.506,.515,6.2,7.5,.829,1.9,4.4,6.3,3.9,1.1,0.4,2.1,2.5,23.1,,wagnefr01
27,Alperen Şengün,23,HOU,C,12,12,36.8,8.1,16.8,.480,1.4,3.2,.447,6.7,13.7,.488,.522,5.4,7.3,.739,3.2,7.2,10.3,7.4,1.3,1.0,3.3,3.3,23.0,,sengual01
28,Zion Williamson,25,NOP,PF,5,5,31.4,7.6,15.6,.487,0.0,0.0,,7.6,15.6,.487,.487,7.6,11.4,.667,3.2,3.6,6.8,4.6,2.0,0.2,3.4,2.4,22.8,,willizi01
29,Zach LaVine,30,SAC,SG,12,12,34.3,7.8,15.3,.511,3.2,7.5,.422,4.7,7.8,.596,.614,3.8,4.3,.885,0.2,3.3,3.5,2.3,0.6,0.2,2.0,2.5,22.7,,lavinza01
30,LaMelo Ball,24,CHO,PG,7,7,32.4,7.7,18.4,.419,3.1,9.4,.333,4.6,9.0,.508,.504,3.7,4.6,.813,1.3,5.9,7.1,9.9,1.4,0.1,3.4,3.4,22.3,,ballla01
31,Keyonte George,22,UTA,PG,13,13,34.4,6.7,16.2,.412,1.8,6.4,.277,4.9,9.8,.500,.467,7.0,7.5,.929,0.7,3.2,3.9,7.0,1.0,0.3,3.3,2.2,22.2,,georgke01
32,Miles Bridges,27,CHO,PF,13,13,35.0,7.2,17.2,.422,3.3,9.1,.364,3.9,8.1,.486,.518,4.3,4.8,.903,0.9,6.0,6.9,4.0,0.5,0.4,1.5,1.9,22.1,,bridgmi02
33,Jamal Murray,28,DEN,PG,11,11,34.0,8.0,17.5,.458,2.3,6.6,.342,5.7,10.8,.529,.523,3.8,4.1,.933,0.6,4.5,5.1,6.3,1.4,0.3,2.4,1.3,22.1,,murraja01
34,Shaedon Sharpe,22,POR,SG,13,13,28.5,7.9,18.3,.433,1.9,7.0,.275,6.0,11.3,.531,.485,4.3,5.3,.812,1.5,3.8,5.2,2.0,1.5,0.2,2.8,2.3,22.1,,sharpsh01
35,Dillon Brooks,30,PHO,SF,8,8,29.9,7.8,16.9,.459,2.6,7.8,.339,5.1,9.1,.562,.537,3.9,4.1,.939,0.8,2.5,3.3,1.9,2.0,0.3,2.0,3.5,22.0,,brookdi01
36,De'Aaron Fox,28,SAS,PG,5,5,34.2,8.6,16.8,.512,2.4,6.4,.375,6.2,10.4,.596,.583,2.4,2.6,.923,1.4,2.2,3.6,6.8,1.0,0.2,4.0,2.6,22.0,,foxde01
37,Josh Giddey,23,CHI,PG,10,10,34.9,7.8,17.0,.459,1.7,4.6,.370,6.1,12.4,.492,.509,4.6,6.0,.767,1.4,8.5,9.9,9.7,1.1,0.5,3.7,1.9,21.9,,giddejo01
38,Jalen Johnson,24,ATL,SF,12,12,32.9,8.4,14.3,.587,1.1,2.8,.382,7.3,11.5,.638,.625,3.8,4.8,.807,1.3,8.3,9.6,6.3,1.8,0.3,3.0,2.2,21.8,,johnsja05
39,Karl-Anthony Towns,30,NYK,C,12,12,33.1,6.9,15.8,.439,2.0,5.8,.348,4.9,10.0,.492,.503,5.9,6.6,.899,3.1,9.4,12.5,3.3,1.0,0.9,2.5,3.8,21.8,,townska01
40,Paolo Banchero,23,ORL,PF,12,12,32.8,6.8,14.8,.461,0.9,3.7,.250,5.9,11.2,.530,.492,7.1,9.3,.766,0.9,7.8,8.7,4.1,0.8,0.9,2.7,2.4,21.7,,banchpa01
41,Cam Thomas,24,BRK,SG,8,8,28.3,6.6,16.5,.402,2.0,5.6,.356,4.6,10.9,.425,.462,6.1,7.0,.875,0.4,1.0,1.4,2.6,0.5,0.1,2.0,1.9,21.4,,thomaca02
42,Anthony Davis,32,DAL,PF,5,5,29.8,7.8,15.0,.520,0.6,2.2,.273,7.2,12.8,.563,.540,4.6,6.2,.742,3.4,6.8,10.2,2.2,1.6,1.2,2.2,2.6,20.8,,davisan02
43,Brandon Ingram,28,TOR,SF,13,13,33.2,7.6,15.5,.493,1.1,4.2,.255,6.5,11.2,.582,.527,4.1,4.6,.883,0.6,5.4,6.0,3.8,0.9,0.6,2.5,2.5,20.4,,ingrabr01
44,Bam Adebayo,28,MIA,C,8,8,30.4,7.0,15.5,.452,2.0,5.9,.340,5.0,9.6,.519,.516,3.9,4.5,.861,1.0,7.1,8.1,2.9,1.0,0.3,2.0,1.6,19.9,,adebaba01
45,Aaron Gordon,30,DEN,PF,11,11,30.3,6.5,12.3,.533,2.5,5.2,.474,4.1,7.1,.577,.633,4.4,4.9,.889,1.3,4.6,5.9,1.5,0.9,0.3,1.5,1.7,19.9,,gordoaa01
46,Trey Murphy III,25,NOP,SF,13,13,35.8,6.8,15.0,.456,2.8,7.8,.356,4.1,7.2,.564,.549,3.4,3.6,.936,1.7,5.2,6.9,3.3,1.4,0.2,2.1,2.2,19.8,,murphtr02
47,Scottie Barnes,24,TOR,PF,13,13,32.5,7.5,15.0,.503,1.6,3.9,.412,5.9,11.1,.535,.556,3.0,3.7,.813,1.8,6.0,7.8,5.2,1.5,1.8,1.9,3.5,19.7,,barnesc01
48,Joel Embiid,31,PHI,C,6,6,23.3,6.7,14.5,.460,1.5,4.7,.321,5.2,9.8,.525,.511,4.8,5.8,.829,1.5,4.0,5.5,3.3,0.8,1.5,2.7,2.2,19.7,,embiijo01
