Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Devin Booker,29,PHO,SG,14,14,501,21.2,.614,.296,.386,3.4,9.5,6.5,32.3,1.1,0.8,14.7,31.7,1.3,0.3,1.6,.157,3.7,-2.1,1.7,0.5,,bookede01
2,Franz Wagner,24,ORL,SF,14,14,501,19.0,.587,.304,.457,5.9,13.4,9.8,17.7,1.5,1.0,9.5,25.7,1.0,0.6,1.6,.156,2.4,-0.1,2.3,0.5,,wagnefr01
3,Tyrese Maxey,25,PHI,PG,12,12,484,23.4,.597,.393,.339,0.9,13.0,6.9,32.1,1.7,1.9,8.5,30.2,1.6,0.5,2.0,.201,6.0,0.3,6.3,1.0,,maxeyty01
4,Cooper Flagg,19,DAL,PG,14,14,478,12.6,.526,.293,.234,3.6,16.8,10.3,14.9,1.9,1.9,13.4,20.9,-0.3,0.8,0.5,.049,-2.8,0.7,-2.2,0.0,,flaggco01
5,DeMar DeRozan,36,SAC,PF,14,14,476,15.9,.585,.167,.308,1.6,9.6,5.4,15.7,1.6,0.4,5.9,21.1,0.7,0.1,0.8,.078,0.1,-1.3,-1.2,0.1,,derozde01
6,Shai Gilgeous-Alexander,27,OKC,PG,14,14,470,32.9,.652,.282,.429,1.2,14.6,8.2,35.9,2.0,2.9,6.2,34.2,2.5,1.1,3.6,.366,9.8,3.4,13.2,1.8,,gilgesh01
7,Lauri Markkanen,28,UTA,PF,13,13,470,23.0,.621,.450,.329,6.7,11.5,9.1,10.7,1.2,1.5,5.3,29.2,1.5,0.2,1.7,.173,6.8,-1.8,5.0,0.8,,markkla01
8,Trey Murphy III,25,NOP,SF,13,13,465,17.3,.598,.518,.241,4.8,17.8,10.7,15.2,1.9,0.5,11.1,22.0,0.7,0.1,0.8,.087,2.1,-1.5,0.6,0.3,,murphtr02
9,Derrick White,31,BOS,SG,14,14,461,15.9,.479,.560,.185,2.9,10.1,6.4,23.1,2.6,3.7,6.8,23.0,0.4,0.6,1.0,.106,1.4,1.3,2.7,0.6,,whitede01
10,Dyson Daniels,22,ATL,SG,14,14,459,12.2,.499,.115,.186,5.6,13.1,9.5,23.2,3.3,1.2,19.2,13.9,0.1,0.8,0.8,.088,-2.8,2.3,-0.5,0.2,,daniedy01
11,Desmond Bane,27,ORL,SG,14,14,455,12.1,.539,.344,.226,3.8,10.7,7.3,21.5,0.6,0.9,13.3,22.9,0.2,0.4,0.6,.062,-1.5,-1.0,-2.5,-0.1,,banede01
12,Miles Bridges,27,CHO,PF,13,13,455,17.6,.573,.529,.278,3.1,19.2,11.3,17.9,0.7,1.0,7.1,24.7,1.0,0.2,1.2,.122,2.7,-1.5,1.2,0.4,,bridgmi02
13,Toumani Camara,25,POR,PF,13,13,450,9.4,.522,.597,.146,5.7,11.2,8.3,11.3,1.5,1.2,14.5,15.8,0.1,0.2,0.3,.031,-1.8,-1.1,-2.9,-0.1,,camarto01
14,Rui Hachimura,27,LAL,PF,13,13,450,13.5,.686,.380,.219,2.5,10.0,6.4,5.2,1.0,0.7,9.6,15.9,0.7,0.3,1.0,.107,0.6,-1.5,-0.9,0.1,,hachiru01
15,Jaylen Brown,29,BOS,SF,14,14,449,21.8,.587,.271,.282,3.0,16.2,9.4,22.9,1.2,1.1,12.1,35.1,0.7,0.5,1.2,.123,3.9,-0.4,3.5,0.6,,brownja02
16,VJ Edgecombe,20,PHI,SG,12,12,448,11.7,.512,.391,.183,5.6,11.1,8.4,15.6,1.7,1.0,11.6,19.2,0.2,0.4,0.5,.059,-1.6,-0.4,-2.0,0.0,,edgecvj01
17,Payton Pritchard,28,BOS,PG,14,14,447,16.2,.569,.586,.188,3.0,10.4,6.6,22.5,1.2,0.0,8.2,20.8,0.9,0.4,1.3,.141,1.6,-0.6,1.0,0.3,,pritcpa01
18,Keyonte George,22,UTA,PG,13,13,447,16.6,.567,.393,.464,2.1,10.2,6.1,32.4,1.4,0.9,14.5,26.9,0.7,0.2,0.8,.090,1.3,-1.6,-0.3,0.2,,georgke01
19,Deni Avdija,25,POR,SF,13,13,443,20.2,.635,.398,.466,4.0,18.0,10.5,22.0,0.7,2.2,15.0,28.0,1.0,0.3,1.3,.143,4.0,-0.7,3.3,0.6,,avdijde01
20,Evan Mobley,24,CLE,PF,13,13,443,18.4,.557,.337,.411,8.3,20.9,14.2,18.1,1.8,4.4,12.5,23.3,0.5,0.7,1.1,.124,1.6,1.1,2.7,0.5,,mobleev01
21,Alperen Şengün,23,HOU,C,12,12,442,22.5,.573,.188,.436,10.0,21.0,15.7,29.1,1.7,2.6,14.2,26.2,1.2,0.6,1.9,.205,5.0,1.3,6.3,0.9,,sengual01
22,Julius Randle,31,MIN,PF,13,13,437,25.6,.660,.303,.427,5.1,18.7,12.2,29.0,1.9,0.6,11.9,27.7,1.7,0.5,2.2,.243,6.2,0.9,7.0,1.0,,randlju01
23,Ryan Rollins,23,MIL,PG,14,13,436,17.8,.636,.405,.173,2.9,10.6,6.8,24.6,2.6,0.6,15.1,21.8,0.8,0.4,1.1,.126,1.2,-0.1,1.1,0.3,,rolliry01
24,Kevin Durant,37,HOU,SF,12,12,433,19.8,.634,.267,.432,1.1,13.0,7.2,14.2,1.4,1.8,12.8,26.7,1.2,0.4,1.6,.180,2.6,-0.5,2.1,0.4,,duranke01
25,James Harden,36,LAC,PG,12,12,433,23.9,.645,.559,.450,1.9,18.0,10.2,41.4,1.3,1.1,16.0,29.5,1.4,0.2,1.6,.181,6.4,-0.8,5.6,0.8,,hardeja01
26,Jimmy Butler,36,GSW,SF,14,14,431,23.8,.666,.205,.660,7.9,11.8,9.8,24.9,2.6,0.9,9.9,21.9,1.8,0.6,2.3,.259,4.9,1.2,6.1,0.9,,butleji01
27,Brandon Ingram,28,TOR,SF,13,13,431,16.3,.583,.274,.299,2.1,17.6,10.0,16.8,1.3,1.8,12.3,25.3,0.3,0.5,0.8,.092,0.0,-0.4,-0.4,0.2,,ingrabr01
28,Devin Vassell,25,SAS,SG,13,13,430,10.2,.529,.588,.144,1.4,10.5,6.2,9.8,1.6,0.4,8.1,18.3,0.1,0.5,0.6,.071,-2.3,-0.5,-2.8,-0.1,,vassede01
29,Max Christie,22,DAL,SG,14,11,428,12.5,.640,.638,.185,0.2,11.8,6.1,13.4,0.9,1.5,9.6,15.2,0.5,0.5,1.0,.109,-0.2,0.3,0.0,0.2,,chrisma02
30,Andrew Wiggins,30,MIA,SF,13,13,428,14.3,.593,.373,.198,5.4,9.7,7.7,11.9,1.6,2.6,13.1,21.1,0.2,0.4,0.6,.067,0.1,0.0,0.0,0.2,,wiggian01
31,Brandin Podziemski,22,GSW,SG,15,7,426,13.1,.576,.510,.196,1.6,16.8,9.0,16.7,2.1,1.1,10.9,17.3,0.3,0.6,0.9,.103,-1.4,0.8,-0.6,0.2,,podzibr01
32,Dennis Schröder,32,SAC,PG,14,12,426,11.4,.496,.395,.160,1.0,12.9,6.7,27.4,1.7,0.7,13.5,19.8,-0.2,0.1,-0.1,-0.006,-1.8,-1.3,-3.2,-0.1,,schrode01
33,Amen Thompson,23,HOU,SF,12,12,426,16.1,.534,.171,.318,7.3,11.7,9.6,20.1,1.7,1.4,12.2,21.3,0.7,0.4,1.2,.130,0.4,-0.4,0.1,0.2,,thompam01
34,Kon Knueppel,20,CHO,SF,13,12,424,13.3,.609,.604,.189,2.2,18.2,10.4,13.1,1.0,0.6,14.9,21.1,0.3,0.2,0.5,.056,0.1,-1.5,-1.4,0.1,,knuepko01
35,Scottie Barnes,24,TOR,PF,13,13,422,21.5,.592,.262,.246,6.4,20.0,13.4,23.4,2.1,5.2,10.4,24.1,0.8,0.7,1.6,.177,3.1,2.4,5.4,0.8,,barnesc01
36,Pascal Siakam,31,IND,PF,12,12,420,18.2,.538,.263,.414,4.7,17.2,10.4,27.5,1.6,0.9,9.6,29.2,0.3,0.3,0.6,.068,2.5,-0.7,1.8,0.4,,siakapa01
37,Wendell Carter Jr.,26,ORL,C,14,14,419,14.2,.657,.364,.464,11.5,15.7,13.7,8.8,1.0,2.6,18.5,16.4,0.6,0.5,1.1,.131,-0.8,0.4,-0.5,0.2,,cartewe01
38,Duncan Robinson,31,DET,SF,13,13,418,11.1,.636,.756,.176,1.3,8.1,4.7,7.2,1.1,1.2,5.9,13.3,0.7,0.4,1.1,.129,-0.4,0.0,-0.4,0.2,,robindu01
