,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Devin Booker,29,PHO,SG,14,14,501,.495,15.1,.704,.123,.188,.235,.159,.296,.559,.794,.500,.538,.477,.341,.330,.643,.007,2,.085,.286,0,0,,bookede01
2,Franz Wagner,24,ORL,SF,14,14,501,.461,11.6,.696,.278,.313,.065,.039,.304,.506,.719,.375,.267,.444,.357,.506,.840,.022,5,.143,.400,0,0,,wagnefr01
3,Tyrese Maxey,25,PHI,PG,12,12,484,.454,15.2,.607,.186,.229,.111,.082,.393,.476,.577,.438,.452,.391,.418,.370,.674,.025,6,.055,.500,0,0,,maxeyty01
4,Cooper Flagg,19,DAL,PG,14,14,478,.447,12.5,.707,.213,.309,.080,.106,.293,.519,.775,.431,.467,.300,.273,.333,.800,.080,11,.218,.000,0,0,,flaggco01
5,DeMar DeRozan,36,SAC,PF,14,14,476,.500,14.0,.833,.106,.187,.318,.222,.167,.521,.714,.649,.460,.409,.394,.523,1.000,.000,0,.545,.500,0,0,,derozde01
6,Shai Gilgeous-Alexander,27,OKC,PG,14,14,470,.531,14.0,.718,.194,.143,.276,.105,.282,.592,.772,.500,.568,.452,.373,.176,.258,.007,2,.048,.500,0,0,,gilgesh01
7,Lauri Markkanen,28,UTA,PF,13,13,470,.479,15.1,.550,.157,.271,.086,.036,.450,.552,.727,.513,.542,.100,.389,.776,.939,.096,26,.190,.583,0,0,,markkla01
8,Trey Murphy III,25,NOP,SF,13,13,465,.456,16.4,.482,.205,.185,.077,.015,.518,.564,.775,.389,.467,.333,.356,.660,.833,.103,18,.059,.333,0,0,,murphtr02
9,Derrick White,31,BOS,SG,14,14,461,.356,18.8,.440,.074,.176,.102,.088,.560,.421,.625,.342,.409,.421,.306,.500,.622,.009,2,.132,.313,0,0,,whitede01
10,Dyson Daniels,22,ATL,SG,14,14,459,.469,6.9,.885,.363,.469,.053,.000,.115,.500,.659,.377,.500,,.231,.520,1.000,.080,9,.231,.333,0,0,,daniedy01
11,Desmond Bane,27,ORL,SG,14,14,455,.436,13.9,.656,.179,.277,.087,.113,.344,.500,.743,.407,.588,.273,.313,.547,.619,.000,0,.224,.333,0,0,,banede01
12,Miles Bridges,27,CHO,PF,13,13,455,.422,16.0,.471,.135,.278,.040,.018,.529,.486,.667,.403,.556,.250,.364,.549,.907,.045,7,.280,.424,0,0,,bridgmi02
13,Toumani Camara,25,POR,PF,13,13,450,.410,16.4,.403,.215,.174,.007,.007,.597,.552,.774,.320,.000,.000,.314,.813,.815,.063,8,.314,.333,0,0,,camarto01
14,Rui Hachimura,27,LAL,PF,13,13,450,.577,14.8,.620,.226,.109,.161,.124,.380,.624,.677,.600,.545,.647,.500,.774,1.000,.080,10,.423,.364,0,0,,hachiru01
15,Jaylen Brown,29,BOS,SF,14,14,449,.505,14.4,.729,.168,.210,.144,.206,.271,.566,.837,.410,.452,.583,.342,.383,.556,.021,3,.076,.333,0,0,,brownja02
16,VJ Edgecombe,20,PHI,SG,12,12,448,.408,14.2,.609,.201,.243,.089,.077,.391,.427,.588,.366,.267,.385,.379,.477,.960,.077,9,.121,.250,0,0,,edgecvj01
17,Payton Pritchard,28,BOS,PG,14,14,447,.446,20.2,.414,.070,.102,.156,.086,.586,.623,.692,.789,.586,.438,.321,.146,.857,.000,0,.046,.400,0,0,,pritcpa01
18,Keyonte George,22,UTA,PG,13,13,447,.412,15.4,.607,.062,.327,.123,.095,.393,.500,.769,.522,.423,.350,.277,.484,.696,.024,5,.145,.250,0,0,,georgke01
19,Deni Avdija,25,POR,SF,13,13,443,.489,13.1,.602,.308,.217,.045,.032,.398,.564,.691,.479,.300,.286,.375,.413,.879,.041,9,.114,.500,0,0,,avdijde01
20,Evan Mobley,24,CLE,PF,13,13,443,.468,12.5,.663,.268,.253,.100,.042,.337,.524,.765,.396,.368,.125,.359,.636,.783,.116,20,.047,.333,0,0,,mobleev01
21,Alperen Şengün,23,HOU,C,12,12,442,.480,10.5,.812,.257,.347,.149,.059,.188,.488,.635,.443,.367,.417,.447,.338,.882,.064,12,.105,.750,0,0,,sengual01
22,Julius Randle,31,MIN,PF,13,13,437,.540,12.0,.697,.265,.246,.147,.038,.303,.605,.732,.519,.548,.500,.391,.348,.800,.043,8,.219,.357,0,0,,randlju01
23,Ryan Rollins,23,MIL,PG,14,13,436,.526,14.3,.595,.295,.127,.098,.075,.405,.573,.765,.364,.529,.231,.457,.203,.688,.040,7,.171,.750,0,0,,rolliry01
24,Kevin Durant,37,HOU,SF,12,12,433,.510,15.0,.733,.092,.175,.301,.165,.267,.550,.789,.556,.484,.529,.400,.446,.682,.058,12,.018,.000,0,0,,duranke01
25,James Harden,36,LAC,PG,12,12,433,.455,17.8,.441,.129,.228,.069,.015,.559,.528,.808,.348,.643,.333,.398,.085,.467,.000,0,.035,.500,0,0,,hardeja01
26,Jimmy Butler,36,GSW,SF,14,14,431,.526,10.1,.795,.301,.321,.115,.058,.205,.540,.766,.500,.278,.111,.469,.448,.733,.045,7,.438,.500,0,0,,butleji01
27,Brandon Ingram,28,TOR,SF,13,13,431,.493,14.4,.726,.144,.139,.279,.164,.274,.582,.793,.464,.536,.576,.255,.471,.857,.025,3,.236,.308,0,0,,ingrabr01
28,Devin Vassell,25,SAS,SG,13,13,430,.406,19.4,.413,.081,.063,.169,.100,.588,.500,.538,.500,.519,.438,.340,.697,.969,.031,4,.234,.318,0,0,,vassede01
29,Max Christie,22,DAL,SG,14,11,428,.477,17.3,.362,.154,.169,.038,.000,.638,.511,.750,.364,.200,,.458,.708,1.000,.054,7,.458,.579,0,0,,chrisma02
30,Andrew Wiggins,30,MIA,SF,13,13,428,.508,13.6,.627,.226,.215,.119,.068,.373,.586,.725,.447,.571,.583,.379,.446,.920,.040,6,.303,.400,0,0,,wiggian01
31,Brandin Podziemski,22,GSW,SG,15,7,426,.455,17.3,.490,.133,.154,.119,.084,.510,.529,.842,.500,.294,.417,.384,.649,.821,.000,0,.205,.533,0,0,,podzibr01
32,Dennis Schröder,32,SAC,PG,14,12,426,.401,15.3,.605,.111,.278,.123,.093,.395,.439,.611,.356,.350,.600,.344,.186,.636,.000,0,.125,.375,0,0,,schrode01
33,Amen Thompson,23,HOU,SF,12,12,426,.471,8.7,.829,.406,.288,.076,.059,.171,.525,.754,.306,.231,.400,.207,.541,1.000,.194,32,.483,.143,0,0,,thompam01
34,Kon Knueppel,20,CHO,SF,13,12,424,.456,18.0,.396,.166,.136,.071,.024,.604,.537,.679,.435,.417,.500,.402,.694,.927,.018,3,.284,.448,0,0,,knuepko01
35,Scottie Barnes,24,TOR,PF,13,13,422,.503,11.8,.738,.282,.226,.174,.056,.262,.535,.782,.318,.412,.545,.412,.597,.857,.077,15,.235,.333,0,0,,barnesc01
36,Pascal Siakam,31,IND,PF,12,12,420,.453,13.3,.737,.147,.254,.246,.091,.263,.485,.500,.610,.404,.333,.361,.361,.682,.009,1,.033,.000,0,0,,siakapa01
37,Wendell Carter Jr.,26,ORL,C,14,14,419,.527,12.8,.636,.318,.155,.091,.073,.364,.571,.743,.353,.600,.250,.450,.750,1.000,.155,14,.400,.438,0,0,,cartewe01
38,Duncan Robinson,31,DET,SF,13,13,418,.454,20.5,.244,.076,.160,.008,.000,.756,.517,.667,.421,1.000,,.433,.667,.974,.000,0,.167,.533,0,0,,robindu01
39,Kelly Oubre Jr.,30,PHI,SF,12,12,418,.497,14.8,.550,.208,.235,.067,.040,.450,.622,.806,.514,.400,.667,.343,.549,.957,.067,9,.239,.500,0,0,,oubreke01
40,Grayson Allen,30,PHO,SG,13,13,417,.468,19.4,.341,.098,.214,.023,.006,.659,.508,.706,.405,.500,1.000,.447,.567,.804,.006,1,.140,.375,0,0,,allengr01
41,Mikal Bridges,29,NYK,SF,12,12,417,.486,15.8,.500,.222,.111,.139,.028,.500,.556,.656,.625,.300,.750,.417,.550,.967,.021,2,.403,.552,0,0,,bridgmi01
42,Stephon Castle,21,SAS,PG,13,13,416,.497,11.9,.677,.323,.219,.123,.013,.323,.619,.760,.441,.579,.500,.240,.323,1.000,.071,11,.140,.429,0,0,,castlst01
43,Victor Wembanyama,22,SAS,C,12,12,416,.502,12.4,.738,.303,.176,.136,.122,.262,.558,.821,.359,.400,.370,.345,.582,.850,.163,34,.103,.500,0,0,,wembavi01
