Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Shai Gilgeous-Alexander,27,OKC,PG,14,14,470,156,294,.531,31,83,.373,125,211,.592,.583,113,126,.897,5,66,71,93,19,13,23,25,456,0,,gilgesh01
2,Devin Booker,29,PHO,SG,14,14,501,137,277,.495,28,82,.341,109,195,.559,.545,96,107,.897,15,42,57,98,11,4,56,40,398,0,,bookede01
3,Lauri Markkanen,28,UTA,PF,13,13,470,134,280,.479,49,126,.389,85,154,.552,.566,81,92,.880,30,50,80,27,12,7,18,25,398,0,,markkla01
4,Giannis Antetokounmpo,31,MIL,PF,12,12,401,150,238,.630,9,18,.500,141,220,.641,.649,82,129,.636,46,90,136,85,11,15,42,32,391,0,,antetgi01
5,Jaylen Brown,29,BOS,SF,14,14,449,147,291,.505,27,79,.342,120,212,.566,.552,63,82,.768,13,66,79,57,11,5,45,45,384,0,,brownja02
6,Tyrese Maxey,25,PHI,PG,12,12,484,127,280,.454,46,110,.418,81,170,.476,.536,84,95,.884,4,57,61,94,17,10,30,32,384,0,,maxeyty01
7,Donovan Mitchell,29,CLE,SG,12,12,407,121,243,.498,48,126,.381,73,117,.624,.597,75,90,.833,9,46,55,65,18,6,40,26,365,0,,mitchdo01
8,Luka Dončić,26,LAL,PG,10,10,371,106,226,.469,36,110,.327,70,116,.603,.549,96,122,.787,9,80,89,89,17,6,37,25,344,1,,doncilu01
9,Nikola Jokić,30,DEN,C,12,12,410,129,192,.672,23,54,.426,106,138,.768,.732,63,72,.875,36,120,156,131,22,9,39,33,344,7,,jokicni01
10,Deni Avdija,25,POR,SF,13,13,443,108,221,.489,33,88,.375,75,133,.564,.563,89,103,.864,17,68,85,62,7,11,47,48,338,0,,avdijde01
11,Julius Randle,31,MIN,PF,13,13,437,114,211,.540,25,64,.391,89,147,.605,.600,78,90,.867,19,77,96,81,17,3,34,33,331,2,,randlju01
12,Stephen Curry,37,GSW,PG,12,12,367,104,227,.458,51,134,.381,53,93,.570,.570,70,75,.933,3,41,44,44,17,5,32,27,329,0,,curryst01
13,Franz Wagner,24,ORL,SF,14,14,501,106,230,.461,25,70,.357,81,160,.506,.515,87,105,.829,26,62,88,54,16,6,29,35,324,0,,wagnefr01
14,Victor Wembanyama,22,SAS,C,12,12,416,111,221,.502,20,58,.345,91,163,.558,.548,72,84,.857,24,131,155,48,13,43,43,44,314,1,,wembavi01
15,James Harden,36,LAC,PG,12,12,433,92,202,.455,45,113,.398,47,89,.528,.567,83,91,.912,7,69,76,108,11,5,46,23,312,2,,hardeja01
16,Kevin Durant,37,HOU,SF,12,12,433,105,206,.510,22,55,.400,83,151,.550,.563,79,89,.888,4,52,56,41,12,8,36,33,311,0,,duranke01
17,Austin Reaves,27,LAL,SG,11,11,399,95,197,.482,30,91,.330,65,106,.613,.558,91,105,.867,7,49,56,90,15,1,37,27,311,0,,reaveau01
18,Jalen Brunson,29,NYK,PG,11,11,373,107,229,.467,31,84,.369,76,145,.524,.535,63,73,.863,5,34,39,72,9,0,30,29,308,0,,brunsja01
