Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Dist.,0-3,0-3,3-10,3-10,10-16,10-16,16-3P,16-3P,0-3,0-3,3-10,3-10,10-16,10-16,16-3P,16-3P,%FGA,#,%3PA,Att.,Md.,-9999,Trp-Dbl,Season
1.0,Mikal Bridges,28.0,NYK,SF,82.0,82.0,3036.0,14.0,0.585,0.391,0.1,2.7,7.0,4.9,14.4,1.2,1.3,9.7,19.6,3.7,2.0,5.7,0.09,0.4,-0.9,-0.5,1.2,,bridgmi01,7.2,14.4,0.5,2.0,5.6,0.354,5.2,8.8,0.594,0.57,1.2,1.4,0.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,14.7,.185,.785,.189,.513,.192,.507,.042,.520,.185,.785,.189,.513,.192,.507,.042,.520,.025,28,.449,12,0,bridgmi01,0.0,2024-25
2.0,Josh Hart,29.0,NYK,SG,77.0,77.0,2897.0,16.5,0.611,0.327,0.266,6.4,22.6,14.6,20.7,2.0,0.9,15.5,15.3,5.4,3.8,9.2,0.153,1.1,1.8,2.8,3.6,,hartjo01,5.2,10.0,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,11.3,.408,.732,.162,.440,.066,.412,.036,.500,.408,.732,.162,.440,.066,.412,.036,.500,.030,21,.258,1,0,hartjo01,9.0,2024-25
3.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,2871.0,20.1,0.595,0.503,0.308,2.4,14.8,8.7,20.9,1.6,1.7,12.0,31.4,4.6,3.8,8.4,0.14,4.4,0.0,4.3,4.6,MVP-7CPOY-3ASNBA2,edwaran01,9.1,20.4,0.447,4.1,10.3,0.395,5.1,10.1,0.501,0.547,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,16.9,.176,.678,.158,.453,.084,.341,.080,.372,.176,.678,.158,.453,.084,.341,.080,.372,.039,54,.107,10,0,edwaran01,0.0,2024-25
4.0,Devin Booker,28.0,PHO,SG,75.0,75.0,2795.0,19.3,0.589,0.388,0.34,3.1,8.9,6.1,30.6,1.2,0.5,11.9,29.3,6.1,0.3,6.4,0.111,2.8,-2.4,0.4,1.7,,bookede01,8.7,18.9,0.461,2.4,7.3,0.332,6.3,11.6,0.542,0.525,5.8,6.4,0.894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,16.2,.109,.690,.175,.492,.206,.531,.123,.500,.109,.690,.175,.492,.206,.531,.123,.500,.013,14,.123,0,0,bookede01,0.0,2024-25
5.0,James Harden,35.0,LAC,PG,79.0,79.0,2789.0,20.0,0.582,0.516,0.446,2.3,16.1,9.3,36.8,2.1,2.0,18.0,29.6,4.0,4.3,8.3,0.143,3.5,0.8,4.3,4.4,MVP-10ASNBA3,hardeja01,6.7,16.4,0.41,3.0,8.5,0.352,3.7,7.9,0.472,0.501,6.4,7.3,0.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,17.3,.106,.657,.232,.422,.122,.405,.024,.484,.106,.657,.232,.422,.122,.405,.024,.484,.003,4,.042,0,0,hardeja01,3.0,2024-25
6.0,DeMar DeRozan,35.0,SAC,SF,77.0,77.0,2768.0,17.7,0.569,0.196,0.337,2.0,10.1,6.0,18.7,1.1,1.1,6.5,25.0,5.7,1.4,7.1,0.123,1.2,-1.2,-0.1,1.3,,derozde01,8.1,17.0,0.477,1.1,3.3,0.328,7.0,13.7,0.513,0.509,4.9,5.7,0.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,15.3,.065,.706,.171,.549,.299,.509,.269,.449,.065,.706,.171,.549,.299,.509,.269,.449,.006,7,.309,6,0,derozde01,0.0,2024-25
7.0,Trae Young,26.0,ATL,PG,76.0,76.0,2739.0,18.3,0.567,0.467,0.408,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,4.4,1.3,5.7,0.1,3.3,-2.7,0.5,1.7,CPOY-4AS,youngtr01,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.7,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,17.3,.124,.544,.219,.468,.134,.467,.057,.359,.124,.544,.219,.468,.134,.467,.057,.359,.001,0,.078,6,1,youngtr01,0.0,2024-25
8.0,Tyler Herro,25.0,MIA,SG,77.0,77.0,2725.0,19.7,0.605,0.486,0.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28.0,4.7,2.7,7.4,0.131,3.8,-0.7,3.1,3.5,AS,herroty01,8.5,17.9,0.472,3.3,8.7,0.375,5.2,9.2,0.565,0.563,3.7,4.2,0.878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9,16.7,.137,.698,.213,.515,.126,.529,.038,.481,.137,.698,.213,.515,.126,.529,.038,.481,.008,10,.118,2,0,herroty01,0.0,2024-25
9.0,OG Anunoby,27.0,NYK,PF,74.0,74.0,2706.0,15.4,0.591,0.448,0.22,4.2,11.0,7.6,8.5,2.0,2.2,8.3,19.7,3.7,2.8,6.5,0.116,0.7,0.1,0.7,1.9,,anunoog01,6.6,13.9,0.476,2.3,6.2,0.372,4.3,7.7,0.561,0.559,2.5,3.1,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,13.5,.338,.706,.123,.349,.055,.321,.037,.289,.338,.706,.123,.349,.055,.321,.037,.289,.140,132,.450,1,0,anunoog01,0.0,2024-25
10.0,Jalen Green,22.0,HOU,SG,82.0,82.0,2697.0,15.1,0.544,0.46,0.234,1.7,13.4,7.4,16.0,1.3,0.9,11.4,27.3,1.9,3.2,5.1,0.092,1.1,-0.5,0.5,1.7,,greenja05,7.4,17.5,0.423,2.9,8.1,0.354,4.6,9.5,0.482,0.505,3.3,4.1,0.813,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0,16.3,.191,.664,.175,.418,.058,.298,.116,.371,.191,.664,.175,.418,.058,.298,.116,.371,.046,54,.107,0,0,greenja05,0.0,2024-25
11.0,Christian Braun,23.0,DEN,SG,79.0,77.0,2675.0,16.0,0.665,0.273,0.261,4.2,12.2,8.4,10.1,1.5,1.2,8.1,15.8,6.2,1.9,8.0,0.144,0.8,-0.5,0.3,1.6,,braunch01,6.0,10.4,0.58,1.1,2.8,0.397,4.9,7.6,0.648,0.634,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,9.9,.418,.758,.245,.522,.027,.409,.038,.419,.418,.758,.245,.522,.027,.409,.038,.419,.124,94,.317,1,0,braunch01,0.0,2024-25
12.0,Bam Adebayo,27.0,MIA,C,78.0,78.0,2674.0,18.9,0.561,0.199,0.295,7.7,23.1,15.5,20.0,1.8,1.9,11.4,23.5,3.5,4.0,7.5,0.135,1.0,1.0,2.0,2.7,DPOY-10,adebaba01,6.9,14.3,0.485,1.0,2.8,0.357,5.9,11.4,0.517,0.521,3.2,4.2,0.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1,11.4,.213,.705,.285,.461,.247,.436,.057,.444,.213,.705,.285,.461,.247,.436,.057,.444,.123,125,.290,0,0,adebaba01,1.0,2024-25
13.0,Ivica Zubac,27.0,LAC,C,80.0,80.0,2624.0,22.3,0.641,0.0,0.251,13.1,30.2,21.8,12.8,1.0,3.4,10.8,19.5,7.0,4.7,11.7,0.215,2.3,0.8,3.1,3.4,DPOY-6DEF2,zubaciv01,7.4,11.8,0.628,0.0,0.0,,7.4,11.8,0.628,0.628,2.0,3.0,0.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,4.4,.426,.706,.499,.585,.072,.485,.003,.333,.426,.706,.499,.585,.072,.485,.003,.333,.203,177,,0,0,zubaciv01,1.0,2024-25
14.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,2624.0,21.7,0.582,0.497,0.3,2.0,23.7,12.9,27.0,1.5,1.3,11.2,31.2,5.3,4.2,9.5,0.174,4.4,0.8,5.2,4.8,MVP-4CPOY-10ASNBA1,tatumja01,9.2,20.3,0.452,3.5,10.1,0.343,5.7,10.2,0.559,0.537,5.0,6.1,0.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,17.1,.182,.782,.149,.479,.089,.359,.083,.430,.182,.782,.149,.479,.089,.359,.083,.430,.059,79,.059,0,0,tatumja01,2.0,2024-25
15.0,Jaden McDaniels,24.0,MIN,PF,82.0,82.0,2614.0,13.3,0.562,0.363,0.153,5.6,14.2,10.0,9.0,2.1,2.6,9.6,16.3,2.3,3.9,6.3,0.115,-1.4,1.4,0.0,1.4,,mcdanja02,4.9,10.2,0.477,1.2,3.7,0.33,3.6,6.5,0.561,0.537,1.3,1.6,0.813,1.6,4.2,5.7,2.0,1.3,0.9,1.2,2.7,12.2,12.8,.253,.730,.230,.427,.121,.535,.032,.296,.253,.730,.230,.427,.121,.535,.032,.296,.074,51,.512,3,0,mcdanja02,0.0,2024-25
16.0,Keegan Murray,24.0,SAC,PF,76.0,76.0,2610.0,12.0,0.553,0.548,0.088,6.3,15.5,10.9,5.6,1.1,2.6,6.6,15.0,2.4,2.1,4.4,0.082,-0.8,-0.8,-1.6,0.2,,murrake02,4.8,10.8,0.444,2.0,5.9,0.343,2.8,4.9,0.566,0.538,0.8,0.9,0.833,1.9,4.8,6.7,1.4,0.8,0.9,0.8,2.4,12.4,17.2,.144,.831,.195,.469,.078,.359,.035,.483,.144,.831,.195,.469,.078,.359,.035,.483,.087,66,.290,1,0,murrake02,0.0,2024-25
18.0,Shai Gilgeous-Alexander,26.0,OKC,PG,76.0,76.0,2598.0,30.7,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3.0,8.6,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01,11.3,21.8,0.519,2.1,5.7,0.375,9.2,16.1,0.571,0.569,7.9,8.8,0.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,12.9,.206,.742,.231,.492,.222,.548,.079,.420,.206,.742,.231,.492,.222,.548,.079,.420,.028,46,.034,1,0,gilgesh01,0.0,2024-25
19.0,Michael Porter Jr.,26.0,DEN,SF,77.0,77.0,2593.0,16.2,0.617,0.467,0.185,6.1,16.2,11.4,8.7,0.9,1.3,8.4,20.2,4.6,1.8,6.4,0.118,1.6,-1.7,-0.1,1.2,,portemi01,6.9,13.6,0.504,2.5,6.4,0.395,4.4,7.3,0.599,0.596,1.9,2.5,0.768,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,18.2,15.9,.228,.762,.156,.530,.053,.536,.095,.360,.228,.762,.156,.530,.053,.536,.095,.360,.096,88,.125,8,0,portemi01,0.0,2024-25
20.0,Derrick White,30.0,BOS,SG,76.0,76.0,2574.0,16.6,0.606,0.721,0.168,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8,5.1,3.4,8.5,0.158,2.7,0.8,3.5,3.6,DPOY-10,whitede01,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,0.58,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,20.7,.084,.716,.121,.586,.050,.563,.024,.261,.084,.716,.121,.586,.050,.563,.024,.261,.009,8,.171,0,0,whitede01,0.0,2024-25
21.0,Dyson Daniels,21.0,ATL,SG,76.0,76.0,2571.0,15.6,0.545,0.255,0.152,5.1,14.2,9.6,17.9,4.2,2.0,13.6,18.2,1.3,3.7,5.0,0.093,-1.1,2.6,1.5,2.3,DPOY-2MIP-1DEF1,daniedy01,6.0,12.1,0.493,1.1,3.1,0.34,4.9,9.1,0.545,0.536,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,10.4,.284,.676,.377,.486,.078,.389,.007,.167,.284,.676,.377,.486,.078,.389,.007,.167,.054,45,.217,6,0,daniedy01,0.0,2024-25
22.0,Nikola Jokić,29.0,DEN,C,70.0,70.0,2571.0,32.0,0.663,0.243,0.331,9.0,28.2,19.1,44.1,2.4,1.6,12.8,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,MVP-2CPOY-2ASNBA1,jokicni01,11.2,19.5,0.576,2.0,4.7,0.417,9.3,14.8,0.627,0.627,5.2,6.4,0.8,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,11.5,.235,.725,.403,.605,.078,.491,.042,.544,.235,.725,.403,.605,.078,.491,.042,.544,.019,25,.045,22,2,jokicni01,34.0,2024-25
23.0,Austin Reaves,26.0,LAL,SG,73.0,73.0,2550.0,18.1,0.616,0.512,0.353,2.8,11.5,7.3,24.9,1.6,0.8,12.9,23.7,5.6,2.1,7.6,0.144,2.4,-0.5,1.9,2.6,,reaveau01,6.5,14.2,0.46,2.7,7.3,0.377,3.8,6.9,0.547,0.556,4.4,5.0,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,17.1,.142,.748,.211,.484,.107,.450,.028,.379,.142,.748,.211,.484,.107,.450,.028,.379,.007,7,.122,7,0,reaveau01,1.0,2024-25
